Nom	Nature	Ca	Mg	Na	K	Cl	NO3	SO4	HCO3	PH	Pays
Abatilles	plat	16	8	75	3	95	0	8	112	8.2	France
Aix-Les-Bains	plat	72	38	14	2	6	1	81	329	7.4	France
Alet	plat	63	23	13	1.3	11	2	14	300	7.4	France
Alpille	plat	41	3	2	0	3	3	2	134	NA	France
Amelie le Reine	NA	390	27.5	45	2.8	19	2	36	1376.6	NA	France
Aquarelle	plat	70	2.1	2	NA	NA	4	NA	210	NA	France
Ariegeoise	plat	2.8	0.6	1.6	0.4	2	NA	8	2.4	6.7	France
Apolinaris	gaz	100	130	410	20	100	NA	80	1810	NA	France
Arcens	gaz	9	16	252	5.3	24	NA	12	723	NA	France
Arvie	gaz	170	92	650	130	387	0	31	2195	6.3	France
Asperjoc	gaz	145	70	204.7	23.2	10.5	NA	NA	1433.5	NA	France
Badoit	gaz	190	85	150	10	40	7	40	1300	6	France
Carola	gaz	160	52	103	22	76	NA	205	505	NA	France
Cesar	gaz	220	70	350	46	21	0	6	2000	6.5	France
Chateauneuf	gaz	152	36	651	40	215	1	195	1799	7.4	France
Chateldon	gaz	420	51	245	43	3	1	18	2075	6.2	France
Celtic	plat	10.5	4	1.1	1.9	5	2.1	6	48	NA	France
Cilaos	gaz	110.5	70.5	238	5.3	3	NA	54.7	1300.5	NA	France
Contrex	plat	486	84	9.1	3.2	10	2.7	1187	403	7	France
Courmayeur	plat	517	67	1	2	1	2	1371	168	7.4	France
Christalline Alizee	plat	93	8.1	8.8	2.6	18	2	5.2	306	7.4	France
Christalline Aurelie	plat	106	3.8	3.5	1.8	3.8	2	58.9	272	7.2	France
Christalline Doye	plat	64.5	3.5	12	0.5	20	2.5	6	195	7.8	France
Christalline Gds Bois	plat	124	25	11	3.5	16	0	60	420	7.6	France
Christalline Lucheux	plat	96	2.2	7.2	0.7	15	NA	5	284	7	France
Christalline Luciole	plat	107.8	15.1	101.5	0.8	80.4	NA	104.7	389.5	7.4	France
Christalline Reudiere	plat	3.2	1.7	8.1	0.8	17.4	NA	2.5	15.2	NA	France
Christalline Ste Cecile	plat	44	24	23	2	5	1	3	287	7.6	France
Christalline St Cyr	plat	71	5.5	11.2	3.2	20	1	5	250	7.5	France
Christalline St JB	plat	82	7.4	7.3	1.9	14	3.9	18	263	7.5	France
Christalline St Medard	plat	40	11	47	3	70	1	8	177	7.5	France
Christalline St Sophie	plat	63	26	99	21	33	2	60	493	7.4	France
Christalline St Sophie	gaz	67	26	84	20	32	2	61	473	5.2	France
